created_at,created_by,message,team
2017-02-12T17:28:11Z,user3,changing route file for Heroku deployment,team2
2017-02-12T03:50:09Z,user3,migrate to postgresql,team2
2017-02-11T20:42:05Z,user3,Change Gemfile for Heroku,team2
2017-02-11T20:09:33Z,user3,"finish with login and logout api calls, working on register right now",team2
2017-02-11T19:15:20Z,user3,add destroy action in session controller,team2
2017-02-11T19:13:24Z,user3,add create in sessions controller,team2
2017-02-11T04:29:52Z,user3,Add user auth token,team2
2017-02-11T03:41:14Z,user3,add destroy action in api calls,team2
2017-02-11T03:39:18Z,user3,Add update action in Api calls,team2
2017-02-11T03:36:53Z,user3,"Add user create endpoint, update rspec to 3.5 version",team2
2017-02-11T03:24:37Z,user3,Able to get user info from API calls,team2
2017-02-11T02:00:37Z,user3,Add user specs,team2
2017-02-11T01:59:28Z,user3,Add devise user model,team2
2017-02-11T01:45:11Z,user3,Set routes constraints,team2
2017-02-11T01:40:04Z,user3,"Restart the whole project from scartch, another approach",team2
2017-02-09T21:14:42Z,user3,reconfigure file structure,team2
2017-02-09T21:11:43Z,user3,migrate database from sqlite3 to postgresql,team2
2017-02-09T20:37:51Z,user3,Initial commit,team2
2017-02-09T18:31:08Z,user2,Initial commit,team2
2017-04-08T13:26:59Z,user1,April_report_chits,team3
2017-04-08T01:07:24Z,user2,"Add files via upload

April 7 report",team3
2017-04-03T14:51:25Z,user1,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-04-03T14:51:13Z,user1,CSS+SuggestionModuleFuncttionality,team3
2017-04-03T05:44:30Z,user3,modify search,team3
2017-04-03T03:26:13Z,user3,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-04-03T03:26:04Z,user3,Deleted  wrong files,team3
2017-04-03T03:24:13Z,user3,delete wrong file,team3
2017-04-03T01:59:27Z,user1,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-04-03T01:59:17Z,user1,UI-Improvement,team3
2017-04-03T01:42:47Z,user3,Update schema.rb,team3
2017-04-02T21:53:46Z,user3,modify like,team3
2017-04-02T02:59:01Z,user1,UI-improvement,team3
2017-04-01T04:25:40Z,user3,like feature,team3
2017-04-01T01:30:21Z,user3,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-04-01T01:30:14Z,user3,no update,team3
2017-04-01T01:16:51Z,user3,no update,team3
2017-03-31T01:15:07Z,user1,Gemmfile.lock,team3
2017-03-31T01:13:23Z,user1,GemFile,team3
2017-03-31T01:11:44Z,user1,NewGemFile,team3
2017-03-31T01:10:03Z,user1,Delete Gemfile.lock,team3
2017-03-31T01:00:33Z,user1,Gemfile,team3
2017-03-31T00:58:33Z,user1,Gemfile,team3
2017-03-31T00:51:50Z,user1,GemFile,team3
2017-03-31T00:36:41Z,user1,Gemfile,team3
2017-03-31T00:25:07Z,user1,gemfile,team3
2017-03-31T00:07:58Z,user1,removed error,team3
2017-03-19T02:37:49Z,user1,SliderImplementation,team3
2017-03-18T18:10:05Z,user1,DropDown&feedbackUI,team3
2017-03-15T17:33:57Z,user1,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-03-15T17:33:48Z,user1,gemfile,team3
2017-03-15T17:30:55Z,,new,team3
2017-03-15T16:07:55Z,,suggestion new,team3
2017-03-15T16:06:09Z,,suggestion,team3
2017-03-15T14:18:02Z,user1,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-03-15T14:17:45Z,user1,Visual representations for feedback,team3
2017-03-15T03:06:51Z,user3,tests of models and views,team3
2017-03-15T02:47:40Z,user1,Merge resolved,team3
2017-03-15T02:44:59Z,user1,Course-eval-give&getfeedback,team3
2017-03-15T00:43:52Z,user3,fix initial tests,team3
2017-03-10T21:25:47Z,,suggestion,team3
2017-03-09T23:30:42Z,,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-03-09T23:28:25Z,,suggestion,team3
2017-03-09T21:14:09Z,user3,forum,team3
2017-03-09T00:42:50Z,user3,Merge remote-tracking branch 'refs/remotes/origin/master',team3
2017-03-08T22:44:28Z,,suggestion,team3
2017-03-08T22:01:54Z,user3,forum,team3
2017-03-05T17:15:29Z,user2,Add files via upload,team3
2017-03-05T17:15:01Z,user2,Delete SE_FEB_END_REPORT .pdf,team3
2017-03-01T22:00:05Z,user2,Add files via upload,team3
2017-03-01T01:27:33Z,user1,Merge conflict resolved,team3
2017-03-01T01:25:34Z,user1,Prof_rating_controller,team3
2017-02-28T05:45:14Z,user3,forum,team3
2017-02-28T05:43:00Z,user3,forum,team3
2017-02-28T05:41:49Z,,Solution 3,team3
2017-02-26T02:36:58Z,user1,Final db schema and model validation,team3
2017-02-25T03:27:49Z,user1,Questionnaire,team3
2017-02-23T20:18:09Z,user3,forum,team3
2017-02-23T06:51:49Z,user3,"delete section model and semeter field in course, add relationship beteen course, review and user",team3
2017-02-23T05:48:57Z,user3,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-02-23T05:43:38Z,user3,login fix,team3
2017-02-23T04:58:52Z,user1,Course_Eval_section,team3
2017-02-22T05:39:19Z,user3,fix CSS,team3
2017-02-22T04:43:59Z,user3,solve conflits,team3
2017-02-22T04:19:26Z,user3,reviews v1,team3
2017-02-22T03:16:59Z,,login in and sign up,team3
2017-02-21T20:31:30Z,user3,fix user model (email),team3
2017-02-21T02:54:03Z,,git change ignore,team3
2017-02-21T02:47:46Z,,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-02-21T02:45:57Z,,change git ignore,team3
2017-02-21T02:45:21Z,user1,Model creation,team3
2017-02-21T02:20:44Z,user1,Migration changes,team3
2017-02-21T02:08:51Z,user1,Merge resolved,team3
2017-02-21T02:07:04Z,user1,View changes for signup and login,team3
2017-02-21T02:02:03Z,user3,create db models for targeted feedback system,team3
2017-02-20T00:59:17Z,user1,Merge branch 'master' of https://github.com/Rushi-Bhatt/SE17-Team-K,team3
2017-02-20T00:59:11Z,user1,temp,team3
2017-02-19T23:09:02Z,user3,create users model,team3
2017-02-19T21:12:49Z,user3,home page,team3
2017-02-19T17:36:10Z,user3,ignore database.yml,team3
2017-02-18T19:15:45Z,user3,hello world,team3
2017-02-18T17:13:03Z,user3,Initial rails,team3
2017-02-18T15:21:17Z,user3,add readme and gitignore file,team3
2017-01-31T21:17:39Z,user1,January report PDF,team3
2017-01-31T21:16:56Z,user1,January Report PDF,team3
2017-01-31T21:16:27Z,user1,Deleted docx file,team3
2017-01-31T21:15:57Z,user1,Deleted rough version,team3
2017-01-31T21:10:49Z,user1,Jan-report,team3
2017-04-11T16:25:53Z,user1,"Right to Privacy

Right to Privacy",team4
2017-04-10T21:23:48Z,user1,"Updated spelling mistakes in Report

Updated spelling mistakes in Report",team4
2017-04-08T00:18:53Z,user2,April Report,team4
2017-03-28T14:41:12Z,user3,added syllabus,team4
2017-03-20T13:15:41Z,user3,.,team4
2017-03-19T23:41:47Z,user3,"add all courses to the db, allow user to comment",team4
2017-03-17T00:11:26Z,user2,Update Gemfile,team4
2017-03-17T00:08:29Z,user2,Delete Gemfile.lock,team4
2017-03-08T04:12:19Z,,Added Unit Tests,team4
2017-03-02T22:02:17Z,user3,Add files via upload,team4
2017-02-28T00:11:58Z,,Minor fixes to text mining JS,team4
2017-02-28T00:11:23Z,user3,text minning page added,team4
2017-02-27T22:23:13Z,user2,February Report,team4
2017-02-27T22:22:56Z,user2,Delete Feb Report.pdf,team4
2017-02-27T22:15:39Z,user2,Add files via upload,team4
2017-02-27T22:15:21Z,user2,Delete Feb report.docx,team4
